Action,Data,Expected Result
In IM zu Administration → Einstellungen → Onlineformulare navigieren und den Schalter 'Online-Funktionen aktivieren' deaktivieren. Speichern klicken,,"Es werden keine Einstellungsmöglichkeiten angezeigt, außer ""Online-Funktionen aktivieren"""
In IM zu Administration → Einstellungen navigieren und die eingeblendete Seite 'infoskop Einstellungen' öffnen,,
"Unter 'infoskop Einstellungen' prüfen, ob im Bereich 'Onlineformulare' die Unterpunkte 'Formulare', 'Vorlagen', 'Systemvorlagen' und 'Verschlüsselung' sichtbar, aber ausgegraut und nicht anklickbar sind",,Die Unterpunkte dürfen nicht funktionsfähig sein (kein Zugriff möglich)
Über infoskop-Client -> infoskop-Base -> infoskop-Base Einstellungen,,Die Unterpunkte in Bereich ‘Onlineformualre’ dürfen nicht funktionsfähig sein (kein Zugriff möglich). Wie in Punkt 3 beschreiben.
Prüfen ob der Menüeintrag 'Formulare' in Administration → Einstellungen → Onlineformulare gesperrt ist,,Formulare-Menüeintrag darf nicht zugänglich sein
Prüfen ob der Menüeintrag 'Vorlagen' in Administration → Einstellungen → Onlineformulare gesperrt ist,,Vorlagen-Menüeintrag darf nicht zugänglich sein
Prüfen ob der Menüeintrag 'Systemvorlagen' in Administration → Einstellungen → Onlineformulare gesperrt ist,,Systemvorlagen-Menüeintrag darf nicht zugänglich sein
Prüfen ob der Menüeintrag 'Verschlüsselung' in Administration → Einstellungen → Onlineformulare gesperrt ist,,Verschlüsselung-Menüeintrag darf nicht zugänglich sein
"Im Patienten-Menüpunkt versuchen, eine E-Mail an einen Patienten zu senden (Mail-Icon)",,"E-Mail-Senden ist nicht möglich, Mail-Icon gesperrt"
Zum Posteingang navigieren,,Posteingang-Menüpunkt ist deaktiviert
Zum Postausgang navigieren,,Postausgang-Menüpunkt ist deaktiviert
Zum Dokumente-Menüpunkt navigieren und Mail-Icon bei einem Dokument prüfen,,Mail-Icon ist gesperrt
Im Auswertungen-Menü → PA-Cockpit einen Patienten auswählen und das Mail-Icon prüfen,,Mail-Icon ist gesperrt
Im Auswertungen-Menü → Bleaching-Cockpit einen Patienten mit E-Mail-Adresse öffnen und das Mail-Icon prüfen,,"Mail-Icon ist gesperrt, es darf keine Möglichkeit bestehen eine E-Mail zu senden"
In Stage1 einen Patienten mit E-Mail-Adresse öffnen und prüfen,,"Es darf keine Möglichkeit bestehen, eine E-Mail zu versenden."
Zu Administration->Einstellungen->Onlineformualre->Einstellungen navigieren,,"Es werden keine Einstellungsmöglichkeiten angezeigt, außer ""Online-Funktionen aktivieren"""
Online-Funktionen aktivieren und speichern.,"Für die Zuverlässigkeit, Base am besten neu starten nach der Aktivierung.","* Alle vorherige Einstellungen sind noch vorhanden. 
* Alle Onlinefunktionen sind wieder erreichbar und funktional (ggf. Schritte 1-14 gegenprüfen auf Funktionalität)"
