Action,Data,Expected Result
infoskop-Base 5.0.0 installieren,,infoskop-Base 5.0.0 ist erfolgreich installiert
IT-297 Anleitung folgen,IT-297,SmartHL7 Sender ist installiert und funktionsfähig
IT-299 Vorbereitung durchführen,IT-299,Ordner 'HL7Server' befindet sich im Hauptordner der infoskop-Base (…/infoskop-Base/HL7Server/)
Optional: IT-298 Vorbereitung durchführen,IT-298,Datei 'infoskop-adt-test 1.hl7' liegt bereits im HL7Server-Ordner vor
config.dat im Hauptordner der infoskop-Base anpassen,"{noformat}[hl7]
enabled=1{noformat}

","In der config.dat ist ein Block [hl7] mit enabled=1 eingetragen

"
infoskop-Base beenden (Dienst oder lokaler Prozess beenden) und Starter oder Dienst erneut starten (kein Neustart!),,"Im Task-Manager ist nun der HL7Server-Prozess sichtbar

!xray-attachment://2826a506-757f-4a5e-a078-d43dab93900b|width=758,height=197!

"
Letztes HL7-Log unter …/infoskop-Base/HL7Server/HL7Log/ öffnen,,Im Log ist die Zeile 'Server gestartet auf Port: XXXX' vorhanden (XXXX = Portnummer)
SmartHL7 Message Sender öffnen,,"Fenster 'SmartHL7 Message Sender' erscheint

!xray-attachment://ef8d59cd-ddfa-47f3-93bd-72470781573e|width=751,height=575!

"
Im SmartHL7 Message Sender unter 'Receiver' die zuvor im Log ermittelte Portnummer eintragen,,"Port ist korrekt konfiguriert

!xray-attachment://875ea8fc-f8e5-42e9-ae55-61aab40b8abf|width=751,height=575!

"
Per Drag & Drop die Datei 'infoskop-adt-test 1.hl7' (aus IT-298 oder HL7Server-Ordner) in den SmartHL7 Message Sender ziehen,,"Fenster mit HL7-Inhalt ist sichtbar

!xray-attachment://9de93462-f1ba-4446-8278-245cbc51cb9b|width=751,height=577!

"
Im SmartHL7 Message Sender auf 'Start'-Knopf drücken,,"Bei Erfolg färbt sich das Fenster blau

!xray-attachment://ccdf951f-7f0d-43b3-9350-c00838ef3cb4|width=755,height=576!

{color:#bf2600}bei Fehler rot (in diesem Fall Port und Schritte überprüfen){color}

!xray-attachment://6671383a-05aa-4232-9474-bb2b9ba1779c|width=756,height=572!

"
Erneut HL7-Log unter …/infoskop-Base/HL7Server/HL7Log/ prüfen,,"Die soeben importierten HL7-Daten sind im Log sichtbar. **Besonderes Augenmerk: Umlaute wie ä, ö, ü, ß müssen korrekt und lesbar dargestellt sein**. Einträge mit 'exit_failure' oder Pfadangaben sind zu ignorieren und gelten nicht als Fehler. Z.B.

{noformat}08:45:19: IPC_SERVER gestartet mit Namen: 7788
08:45:19: Using Chilkat Sockets
08:45:19: Server gestartet auf Port: 7711
08:45:19: StartListening_chilkat
08:46:00: sBuffer:
MSH|^~\&|RIS KIS|RIS KIS Firma|infoskop|synMedico|20231103064517||ADT^A08|2042|P|2.3.1|||AL|NE||8859/1
EVN|A08|20231103064517||||20231103064515
PID|1|10000004^^^RIS^PI|10000004^^^RIS^PI||Bender^Davin^^^^Dr.||19890719|M|M||Wilhemlshöher Allee 300^^Kassel^^34131^D||05617664060^^^davin.bender@synmedico.de|+4956176640610||||||||||||||||N
PV1|1||nurse^^^specunit||||behandlerid^behandlername|4^hausarzt_nachname^hausarzt_vorname^^^Dr. med^^^ris auth~007257101^überweiser_nachname^überweiser_vorname^^^^^^SEAL^^^^DN||||||21|||||caseno^^^ris auth^VN|finClas||||KV
IN1|1||103480007^^^^NII~72601^^^^NIIP|krankenkasse|krankenkasse|||||||20150401|||MRFP|||||||||||||||||||||egk|^TP||||||||||||egk

08:46:00: Read Message:16
08:46:00: Start writing:18
08:46:00: no merge active
08:46:00: MSH|^~\&|RIS KIS|RIS KIS Firma|infoskop|synMedico|20231103064517||ADT^A08|2042|P|2.3.1|||AL|NE||8859/1
EVN|A08|20231103064517||||20231103064515
PID|1|10000004^^^RIS^PI|10000004^^^RIS^PI||Bender^Davin^^^^Dr.||19890719|M|M||Wilhemlshöher Allee 300^^Kassel^^34131^D||05617664060^^^davin.bender@synmedico.de|+4956176640610||||||||||||||||N
PV1|1||nurse^^^specunit||||behandlerid^behandlername|4^hausarzt_nachname^hausarzt_vorname^^^Dr. med^^^ris auth~007257101^überweiser_nachname^überweiser_vorname^^^^^^SEAL^^^^DN||||||21|||||caseno^^^ris auth^VN|finClas||||KV
IN1|1||103480007^^^^NII~72601^^^^NIIP|krankenkasse|krankenkasse|||||||20150401|||MRFP|||||||||||||||||||||egk|^TP||||||||||||egk




08:46:00: Patient übergeben: ID: 10000004,Name:Bender, Davin
08:46:00: Send to destination(1):23
08:46:00: prepare ACK Socket:24
08:46:00: start ACK Message:25
08:46:00: End ACK Message:25
08:46:00: Socketis OK sending.26
08:46:00: After sending:27
08:46:00: Socket nicht mehr connected - break and delete{noformat}

"
